Episode 007 | steps=100 | base=   -2.10 | shaped=    0.84 | together=  3.7/step ( 93.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0245 | entropy=2.547 | saved
Episode 008 | steps=100 | base=   -2.40 | shaped=   -0.13 | together=  3.5/step ( 87.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0338 | entropy=2.537 | saved
Episode 009 | steps=100 | base=   -2.10 | shaped=    1.41 | together=  3.9/step ( 97.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0275 | entropy=2.450 | saved
Episode 010 | steps=100 | base=   -2.10 | shaped=    1.46 | together=  3.9/step ( 97.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0291 | entropy=2.465 | saved
Episode 011 | steps=100 | base=   -2.00 | shaped=    1.18 | together=  3.8/step ( 94.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0235 | entropy=2.452 | saved
Episode 012 | steps=100 | base=   -2.00 | shaped=    1.44 | together=  3.9/step ( 96.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0269 | entropy=2.456 | saved
Episode 013 | steps=100 | base=   -2.20 | shaped=    1.37 | together=  3.9/step ( 97.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0343 | entropy=2.368 | saved
Episode 014 | steps=100 | base=   -2.10 | shaped=    1.45 | together=  3.9/step ( 97.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0266 | entropy=2.426 | saved
Episode 015 | steps=100 | base=   -2.20 | shaped=   -0.49 | together=  3.3/step ( 82.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0321 | entropy=2.517 | saved
Episode 016 | steps=100 | base=   -2.40 | shaped=   -0.22 | together=  3.4/step ( 86.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0343 | entropy=2.466 | saved
Episode 017 | steps=100 | base=   -2.30 | shaped=    0.90 | together=  3.8/step ( 94.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0252 | entropy=2.428 | saved
Episode 018 | steps=100 | base=   -2.40 | shaped=   -0.44 | together=  3.4/step ( 85.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0306 | entropy=2.540 | saved
Episode 019 | steps=100 | base=   -2.10 | shaped=    0.21 | together=  3.5/step ( 88.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0270 | entropy=2.455 | saved
Episode 020 | steps=100 | base=   -2.10 | shaped=    1.34 | together=  3.9/step ( 96.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0261 | entropy=2.495 | saved

Episode 001 | steps=100 | base= -2.30 | shaped= 9.19 | together= 3.9/step ( 98.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0503 | entropy=2.415 | saved 
Episode 002 | steps=100 | base= -2.00 | shaped= 9.61 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0427 | entropy=2.344 | saved 
Episode 003 | steps=100 | base= -2.30 | shaped= 7.89 | together= 3.3/step ( 83.5%) | coal_bonus= 0.20 | coop_attackers= 2 | loss=-0.0368 | entropy=2.486 | saved 
Episode 004 | steps=100 | base= -2.20 | shaped= 8.66 | together= 3.8/step ( 94.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0415 | entropy=2.384 | saved 
Episode 005 | steps=100 | base= -2.20 | shaped= 9.26 | together= 3.9/step ( 97.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0425 | entropy=2.372 | saved 
Episode 006 | steps=100 | base= -2.00 | shaped= 9.19 | together= 3.8/step ( 95.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0393 | entropy=2.435 | saved 
Episode 007 | steps=100 | base= -2.10 | shaped= 8.54 | together= 3.8/step ( 94.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0469 | entropy=2.423 | saved 
Episode 008 | steps=100 | base= -2.00 | shaped= 9.42 | together= 3.8/step ( 95.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0292 | entropy=2.456 | saved 
Episode 009 | steps=100 | base= -2.30 | shaped= 8.42 | together= 3.8/step ( 94.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0428 | entropy=2.476 | saved 
Episode 010 | steps=100 | base= -2.20 | shaped= 9.11 | together= 3.9/step ( 97.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0464 | entropy=2.382 | saved 
Episode 011 | steps=100 | base= -2.10 | shaped= 9.54 | together= 4.0/step ( 99.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0490 | entropy=2.363 | saved 
Episode 012 | steps=100 | base= -2.00 | shaped= 9.28 | together= 3.9/step ( 97.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0356 | entropy=2.343 | saved 
Episode 013 | steps=100 | base= -2.20 | shaped= 8.40 | together= 3.7/step ( 92.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0441 | entropy=2.408 | saved 
Episode 014 | steps=100 | base= -2.00 | shaped= 9.55 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0367 | entropy=2.387 | saved 
Episode 015 | steps=100 | base= -2.10 | shaped= 9.20 | together= 4.0/step ( 99.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0432 | entropy=2.445 | saved 
Episode 016 | steps=100 | base= -2.00 | shaped= 8.28 | together= 3.6/step ( 90.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0377 | entropy=2.473 | saved 
Episode 017 | steps=100 | base= -2.10 | shaped= 9.10 | together= 3.9/step ( 96.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0441 | entropy=2.494 | saved 
Episode 018 | steps=100 | base= -2.00 | shaped= 9.41 | together= 4.0/step ( 99.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0432 | entropy=2.417 | saved 
Episode 019 | steps=100 | base= -2.10 | shaped= 9.14 | together= 3.9/step ( 98.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0493 | entropy=2.401 | saved 
Episode 020 | steps=100 | base= -2.00 | shaped= 9.73 | together= 4.0/step ( 99.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0401 | entropy=2.410 | saved



Episode 001 | steps=100 | base= -2.40 | shaped= -0.67 | together= 3.8/step ( 96.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0293 | entropy=2.545 | saved 
Episode 002 | steps=100 | base= -2.10 | shaped= -1.42 | together= 3.5/step ( 87.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0259 | entropy=2.505 | saved 
